ACD_ID,HEADLINE,INDUSTRY
10699,Telecommunications Analyst. at Rosecrance Health Network,Information Technology and Services
10700,Attorney,Law Practice
10701,National Recruiter at INROADS,Human Resources
10702,#NAME?,Human Resources
10703,Instrument & Controls Engineer at Aerospace Testing Allliance,Defense & Space
10704,Candidate for County Criminal Court  at Dallas County,Legal Services
10705,Diversity Specialist at ADP (Automatic Data Processing)  | Internship Program Coordinator | Military Strategy,Information Services
10706,HUMAN RESOURCE MANAGEMENT PROFESSIONAL,Human Resources
10707,"Principal, eCablevision",Venture Capital & Private Equity
10708,Career Services Specialist at ITT Technical Institute,Education Management
10709,IT Professional,Oil & Energy
10710,Accountant/Financial Analyst at Nashville Convention & Visitors Bureau,Consumer Goods
10711,Recruitment Coordinator/ Talent Acquisition at Assurant,Human Resources
10712,Experienced Human Resources Professional,Human Resources
10713,"Education Consultant (STEM, IT, Advanced Manufacturing) at Tennessee Department of Education",Education Management
10714,"President/CEO, InView Solutions Philanthropic Management",Philanthropy
10716,Outsourced Marketing and PR Services for Technology Firms and Professional Service Providers,Public Relations and Communications
10717,Director of Talent Acquisition at Accretive Health,Staffing and Recruiting
10718,Photographer at JKK Photography,Photography
10719,Student and Alumni Affairs,Higher Education
10720,CaraVita Home Care,Hospital & Health Care
10721,Executive Director at EYES,Banking
10722,Instructor at Maplewood High School,Professional Training & Coaching
10723,Supervisor of Talent Acquisition(Technology) at Cox Communications,Human Resources
10724,"Associate Director at Lake Institute on Faith & Giving, IU Lilly Family School of Philanthropy",Nonprofit Organization Management
10725,CEO/Owner at Professional Career Placement,Staffing and Recruiting
10726,Volunteer MS Activism at Home  Personal Friend?  Connect on FB /Ktz.mema,Research
10727,Assistant Track Manager at Union Pacific Railroad,Transportation/Trucking/Railroad
10728,Epic Support Analyst at Children's Healthcare of Atlanta,Information Technology and Services
10729,Corporate Quality Auditor at Hillshire Brands,Food Production
10730,"Accomplished Adjunct Professor, Medical Device Trainer, Entrepreneur, and Manager",Hospital & Health Care
10731,Rapid Problem Solving Techinal Leader at Cummins Inc.,Aviation & Aerospace
10732,"For-Profit Education/Academic Recruiter, Excelon Associates 954-420-3176",Education Management
10733,"Owner, Groovetheory Designs",Design
10734,"Director of Multicultural Programs for The Graduate School, Purdue University  at Purdue University",Education Management
10735,Mortgage Regulatory Data Analyst at Stonegate Mortgage Corporation,Research
10736,Sr. HR Business Consultant at Siemens Industry US,Human Resources
10737,Educator at Clayton County Public Schools,Primary/Secondary Education
10738,Consultant: Educational/Private Sector,Education Management
10739,"Senior Manager, Corporate Affairs-Constituent Relations at Walmart",Government Administration
10740,Financial Aid Counselor at MyComputerCareer.com,Education Management
10741,"Principal, Lead Consultant at HrIntellect",Human Resources
10742,Systems Engineer IV at Aerospace Testing Alliance,Military
10743,Talent Acquisition Partner at Ascension Health,Education Management
10744,Director of Finance and Administration at DeVry University,Higher Education
10745,1st grade teacher at Dekalb County School System,Primary/Secondary Education
10746,Lead Contract Specialist at US Army Corps of Engineers,Government Administration
10747,Providing Winning Career Solutions that Equal 1st Place Results! Career Services + Human Resources,Professional Training & Coaching
10748,Realtor,Real Estate
10749,Global Planner/Buyer at Roche Diagnostics,Pharmaceuticals
10750,Former Executive Director  at The National Society of Black Engineers,Higher Education
10751,IT Experienced Hire Recruiter at Ernst & Young,Human Resources
10752,Recruitment Relationship Manager Travel Allegis Talent2 for American Express,Higher Education
10753,Business Operations Specialist at The Boeing Company,Aviation & Aerospace
10754,Human Resources Director at Martin University,Human Resources
10755,Account Manager/Collections at HealthPort Techonologies,Accounting
10756,Recruiting/OnBoarding Specialist,Human Resources
10757,Career and Alumni Services  Manager at Year Up,Management Consulting
10758,National HR/Accounting Manager,Human Resources
10759,noname,Higher Education
10760,Senior Software Engineer at NEEScomm IT,Information Technology and Services
10761,Director at Boys & Girls Club,Nonprofit Organization Management
10762,Talent Acquisition Consultant at Centene Corporation,Human Resources
10763,TSO at TSA,Human Resources
10764,Media Professional/Analyst/Lifestyle Blogger,Broadcast Media
10765,Quality Executive at Rolls-Royce,Aviation & Aerospace
10766,Project Manager at Infinity Structures,Architecture & Planning
10767,"Owner, Positive Business Solutions, LLC",Management Consulting
10768,Property Management/Acquisitions at DDM PROPERTIES & INVESTMENTS,Real Estate
10769,Curriculum and Training Developer at Ricoh Americas Corporation,Education Management
10770,Interventionist,Education Management
10771,Clinical Corporate Recruiter at Evolent Health,Management Consulting
10772,Business Transformation Leader,Management Consulting
10773,Experienced Client Services Manager,Insurance
10774,Patent Examiner at United States Patent and Trademark Office,Government Administration
10775,General Manager at HoneyBaked Ham,Restaurants
10776,Commercial Relationship Manager at Fifth Third Bank,Financial Services
10777,Oncology Specialist at Daiichi Sankyo,Biotechnology
10778,Senior Data Analyst  at ETC,Information Technology and Services
10779,Sr. Human Resources Professional,Human Resources
10780,Engineering Recruiting Team Lead  Dedicated to Kimberly Clark,Human Resources
10781,HR Representative at CNH Industrial,Human Resources
10782,Partner at Barnes and Thornburg,Law Practice
10783,Lobbyist/Attorney at Kelley Cawthorne,Government Relations
10784,Electrical Engineer at Jacobs Engineering,Architecture & Planning
10785,"Career Marketeer, National Career Services Executive",Higher Education
10786,Project Manager at HP,Information Technology and Services
10787,Metro IT Specialist at DeVry University,Education Management
10788,HR Solutions HR Generalist  at Paychex,Human Resources
10789,"Instructor of Management at Kennesaw State University, Founder/Host of Global Leader Radio!™",Education Management
10790,Branch Operations Specialist at Gexpro,Electrical/Electronic Manufacturing
10791,Student at Harrison College,
10792,"Technology Sales Leader, Unified Communications and Enterprise Mobility Management Expert, Innovator, Visionary",Computer Software
10793,"Executive Director, Talent Management and Organizational Strategy at Fulton County Schools",Education Management
10794,Human Resources Manager at Medline Industries,Medical Devices
10795,Senior Human Resources Generalist at Eaton Corporation,Electrical/Electronic Manufacturing
10796,Community Sales Manager at Wilson Parker Homes,Real Estate
10797,Performance Engineer at ESG,Mechanical or Industrial Engineering
10798,at,Military
10799,Security Officer at International Security Management Group-GADOR,Human Resources
10800,Grants Management Liaison for Fulton County Government,Civic & Social Organization
10801,Director of Field Service / COO Boy Scouts of America,Nonprofit Organization Management
10802,"Specialist II, Compliance at Tennessee Valley Authority",Insurance
10803,Academic Advisor at Bowling Green State University,Higher Education
10804,"Property Manager,  Ashford Place Apartments",Commercial Real Estate
10805,"Owner, The Mozzi Group",Staffing and Recruiting
10806,President of the Georgia Career Development Assocation,Professional Training & Coaching
10807,Senior Staff Scientist                  RJ Reynolds,Tobacco
10808,"Consultant, Galen Healthcare Solutions",Information Technology and Services
10809,Scientist at Siemens Healthcare,Research
10810,Director of IT Services,Information Technology and Services
10811,"Author at Say Out Loud, LLC",Writing and Editing
10812,Business Development and Sales Leader | Adjunct Professor | Non-Profit Gift/Donor Developer,Education Management
10813,Diversity Recruiting Team Lead  Entry Level at Accenture,Human Resources
10814,Quality Engineer at Lockheed Martin Aeronautics,Defense & Space
10815,Director at Impact Therapy Services,Medical Practice
10816,"Director, Career Planning at Agnes Scott College",Higher Education
10817,"Director, Corporate Relations at National Society of Black Engineers",Nonprofit Organization Management
10818,"Client Technical Specialist Trainee  Power, Summit Program",Information Technology and Services
10819,Human Resource Executive Team Leader at Target Corporation,Human Resources
10820,CCTR Remediation Lead (Clinical Regulatory Document Associate) at PharmaNet/i3,Research
10821,Associate System Operator at Duke Energy Corporation,Utilities
10822,Technical Resource Specialist at Metro Nashville Public Schools,Education Management
10823,Diversity Enthusiast,Human Resources
10824,Undergraduate Program Coordinator at Emory University,Higher Education
10825,National Relationship Manager,Education Management
10826,Analyst at Accenture,Information Technology and Services
10827,Human Resources Specialist with United States Department of Agriculture,Government Administration
10828,Admissions Manager at Strayer University,Higher Education
10829,Chairman Of The Board-Education Initiative,Professional Training & Coaching
10830,Recruiting Analyst,Information Technology and Services
10831,"JDC, CTC, President, Frank Palma Exec Search & Founder Alpha Omega Group",Human Resources
10832,Director of Sales at Staybridge Suites,Hospitality
10833,Dean at Harrison College,Education Management
10835,Staffing Manager at Ajilon Professional Staffing,Human Resources
10836,Purchasing Manager at Carson Manufacturing,Electrical/Electronic Manufacturing
10837,Business Analyst  Data Development at Asurion,Information Technology and Services
10838,"COO/General Counsel at Alpha Rae Personnel, Inc.",Staffing and Recruiting
10839,Sales/Marketing Professional,Information Technology and Services
10840,"Nurse Practitioner at St. Clair Specialty Physicians, P.C.",Medical Practice
10841,Dealer Account Executive at Navistar Inc,Financial Services
10842,Proprietor  at Perry & Associates,Alternative Medicine
10843,"Supervisor, Advanced Supplier Quality Engineering at Allison Transmission",Automotive
10844,"HR Generalist at American Honda Motor Company, Inc.",Automotive
10845,Executive Advisor at DeVry University,Education Management
10846,QA Project Lead Chassis (New Model Odyssey and Pilot) -Honda Manufacturing of Alabama,Mechanical or Industrial Engineering
10847,Business Manager  Chemicals at Union Pacific Railroad,Transportation/Trucking/Railroad
10848,Performance Improvement Coordinator at Advocate Christ Medical Center and Advocate Children's Hospitals,Hospital & Health Care
10849,Vice President of Human Resources at Pruitt Health,Human Resources
10850,Clinical Recruitment Leader For A Faith Based Health System,Hospital & Health Care
10851,Indiana Executive Director at Specialized Alternatives for Families & Youth,Government Relations
10852,Sr Technical Recruiter at Vector Consulting,Information Technology and Services
10853,Accountant  Defense Finance and Accounting Service,Defense & Space
10854,HR/Payroll Implementation Consultant at Concessions International,Human Resources
10855,Sr IT/Technical Sourcer/Recruiter VIRTUAL based in Atlanta Area,Staffing and Recruiting
10856,Senior Stock Plan Administrator at UBS,Financial Services
10857,Civil Engineer at FEMA,Government Administration
10858,Accessible Psychological Group,Mental Health Care
10859,"Attorney at law at The Pugh Law Group, LLC",Law Practice
10860,Employee Relations and Benefits Manager,Human Resources
10861,Leadership and Professional Development Consulting| Executive Coaching,Management Consulting
10862,Career Advisor at DeVry University,Higher Education
10863,General Manager at HUGO BOSS,Retail
10864,Technical recruiter at 3i People Inc,Staffing and Recruiting
10865,IT Recruiter at 3i People Inc,Information Technology and Services
10866,"Senior Manager, Change Management at The Coca-Cola Company",Food & Beverages
10867,Accountant III at CRIF Lending Solutions,Accounting
10868,Communications Professional,Hospital & Health Care
10869,Talent Acquisition Manager at Grady Health System,Hospital & Health Care
10871,Adjunct Faculty at Ivy Tech Community College,Law Practice
10872,Chief Operations Officer at Energy Access Inc,Electrical/Electronic Manufacturing
10873,Program Delivery Lead  RPO Sourcing Projects at ManpowerGroup Solutions /LION/Open Networker/Sourcing Specialist!!!!,Staffing and Recruiting
10874,Technology Coordinator at Firestone Industrial Products,Building Materials
10875,IT Auditor at USPS OIG,Government Administration
10876,UPS Talent Acquisition Corporate Workforce Planning,Staffing and Recruiting
10877,Information Technology Audit Professional,Information Technology and Services
10878,Principal Executive Recruiter at Diamond Search LLC,Staffing and Recruiting
10879,Executive Team Leader at Target,Retail
10880,Point of Sales Support Manager at Toshiba Global Commerce Solutions,Program Development
10881,Emerging Media Professor at Bowie State University,Higher Education
10882,Modeling and Simulation,Research
10883,"Branch Manager at Ashley Ellis, Inc",Staffing and Recruiting
10884,Senior Leader  AACoE Governance,Accounting
10885,N/A,Education Management
10886,CPA Candidate,Accounting
10887,Corporate Recruiter; Diversity Specialist; Career & College Advisor; Educational Program Specialist,Human Resources
10888,Manager at RadioShack,Retail
10889,Creative Director & Sewist,Retail
10890,Public Policy Administrator at Allison Transmission Inc.,Automotive
10891,CEO Area51 Music Group,Music
10892,Associate Director of Career Services at DeVry University,Higher Education
10893,"Manager, Risk Services at LBMC Security & Risk Services",Information Technology and Services
10894,Recruiting Manager and Candidate Relations,Staffing and Recruiting
10895,Senior Virtual Recruiter,Human Resources
10896,Associate Dean at Harrison College,Education Management
10897,Director of Education at Midwest Technical Institute,Higher Education
10898,Director of Career Advising at Valparaiso University School of Law,Law Practice
10899,Campus Director at ITT Technical Institute,Education Management
10900,Program Manager Goodwill Industries Day Reporting,Education Management
10901,Talent Acquisition & Talent Development Solutions across the globe,Management Consulting
10902,Career Advisor at University of Indianapolis,Education Management
10903,Graduate Admissions and Academic & Career Advisor at University of Indianapolis,Higher Education
10904,Project Engineer  Mechanical at McDonald's Corporation,Mechanical or Industrial Engineering
10905,Case Manager at ActiveHealth Management,Hospital & Health Care
10906,ExxonMobil Development Administrator,Oil & Energy
10907,Principal Software Engineer at Northrop Grumman,Defense & Space
10908,Associate Provost at West Georgia Technical College,Education Management
10909,President JWS Machinery,Machinery
10910,Associate  Advanced Analytics,Management Consulting
10911,Head of HR at Marine Well Containment Company,Oil & Energy
10912,Founder at YCSHB Center,Events Services
10913,Conversions-Senior Accountant at Caterpillar Financial,Accounting
10914,Employee Ford Motor Company,Automotive
10915,Land Development Professional,Real Estate
10916,"Senior HRIS Analyst Oracle SuperUser at Cummins, Inc",Human Resources
10917,"Regional Manager, Operations at Redbox",Entertainment
10918,"Reginald Shareef, PMP, Business Development Specialist, Owner Kumbaya International Realty Group (K.I.R.G.)",Marketing and Advertising
10919,Academic Affairs,Education Management
10920,Owner  & Photographer at Shelby Oliver Photography,Photography
10921,Innovative Marketing + Branding Strategist,Marketing and Advertising
10922,Project Manager at GP Strategies Corporation,Education Management
10923,Recruiting Partner,Staffing and Recruiting
10924,Career Services Professional,Higher Education
10925,Team Manager III  Final Assembly Dept. at Westinghouse Electric Company,Oil & Energy
10926,Experienced Technical Executive ? Entrepreneur ? CTO ? Technology & Innovation Catalyst ? Let's Connect!,Executive Office
10927,President at SMS Education Associates,Information Technology and Services
10928,Performance-driven HR Professional & Operations Manager,Nonprofit Organization Management
10929,Plant Director at PepsiCo,Food & Beverages
10930,Technical Support Manager at Cummins Inc.,Transportation/Trucking/Railroad
10931,Microbiologist at United States Environmental Protection Agency,Environmental Services
10932,"Sr. Talent Aquisition  Global Strategic HR Project Management Recruiting & Sourcing Initiatives, TS Certified Trainer.",Hospital & Health Care
10933,Senior Project Engineer at Clayco,Construction
10934,Human Resources at Impellam,Human Resources
10935,Mgmt. Operations Spec. at The Chattanooga Housing Authority,Human Resources
10936,"Manager, Design & Construction at Children's Healthcare of Atlanta",Construction
10937,Delivery Manager / Sr. Technical Recruiter at Adecco Engineering & Technical,Staffing and Recruiting
10938,Assistant Principal at SELCAT,Construction
10939,Program Development,Recreational Facilities and Services
10940,QA Specialist II at Vanderbilt University Medical Center,Information Technology and Services
10941,Human Resources Professional,Consumer Goods
10943,"Engaging Trainer, Extraordinary Coach, and Visionary Leader",Insurance
10944,Human Resources Business Partner,Human Resources
10945,IT Manager at United Hospital Services,Hospital & Health Care
10946,Diversity Recruiter at Oracle,Computer Software
10947,Field Recruiter at Lucky Brand Jeans,Retail
10948,Corporate Recruiter at McDonald's Corporation,Restaurants
10949,Executive Recruiter at RCI Recruitment Solutions,Staffing and Recruiting
10950,Community Affairs at Houston Astros,Sports
10951,"Executive Director, Post-Trade Technology at Chicago Mercantile Exchange Group",Information Technology and Services
10952,Business Development at Norton Healthcare,Hospital & Health Care
10953,Senior Mortgage Banker at Fidelity Bank,Banking
10954,Human Resources Professional,Utilities
10955,CEO at Stanberry Motivational Consulting,Individual & Family Services
10956,Owner/ Interior Designer at Imported Designs LLC,Design
10957,StarksVan Design,Graphic Design
10958,Manager of Admin Support Services & Recruiting at YMCA of Greater Indianapolis,Recreational Facilities and Services
10959,"Director, Family Support Services at UCPH / Distributor at It Works and Juice Plus+","Health, Wellness and Fitness"
10960,Dental Director at Raphael Health Center,Hospital & Health Care
10961,Client Services at Niven Marketing,Automotive
10962,"IT Trainer at Pillsbury Winthrop Shaw Pittman, LLP",Professional Training & Coaching
10963,Senior Admissions Representative at Indiana Business College,Higher Education
10964,"Founder & Executive Director at Technology on Move, Inc.",Information Technology and Services
10965,The Business Amplification Expert ®,Computer Software
10966,Director of Learning Support Services at Edgewood College,Higher Education
10967,College Relations and Talent Development Manager,Human Resources
10968,"President at WTCE Inc and Owner, WTCE Inc",Professional Training & Coaching
10969,Student at Concordia University-Wisconsin School of Pharmacy,Hospital & Health Care
10970,"Management, Executive & Technical Recruiter | SAP Recruiter | Strong Recruiter Horsepower! 27+ LinkedIn Recommendations!",Staffing and Recruiting
10971,CEO at Swains Manor,"Leisure, Travel & Tourism"
10972,Behavior Specialist at District of Columbia Public Schools (DCPS),Higher Education
10973,Sr. Healthcare Recruiter at The Jag Group,Staffing and Recruiting
10974,"Associate Director, Alumni Relations, University of Washington",Education Management
10975,"Building Director, University of Louisville",Higher Education
10976,Principal in Fulton County Schools,Education Management
10977,Talent Advisor at Pall Corporation,Information Technology and Services
10978,State Farm Insurance,Insurance
10979,"Experienced Financial, Accounting and Tax Professional",Accounting
10980,Human Capital Consultant at Humana,Insurance
10981,Regional Director Human Resources,Human Resources
10982,Facilities & Clinical Technology Management Recruiter,Human Resources
10983,Driving growth through development of talent,Human Resources
10984,"SVP Human Resources, Cox Media Group",Human Resources
10985,Clinical Research Assistant at IUPUI,Human Resources
10986,Education Consultant,Education Management
10987,Vice President / Commercial Banker at First Citizens Bank,Banking
10988,"Recruiting Coordinator for Key Bank at Kenexa, an IBM Company",Human Resources
10989,Former Public Relation Specialist,Recreational Facilities and Services
10990,Assistant Dean at Indiana University,Law Practice
10991,"CLSSBB, CQE",Electrical/Electronic Manufacturing
10992,"Author of ""Get Them To Buy Into You""",Professional Training & Coaching
10993,"Entrepreneur, Business Consultant",Real Estate
10994,RHIT professional at DeKalb Community Service Board,Hospital & Health Care
10995,President at The Art Institute of Ft Lauderdale,Education Management
10996,Lead Talent Acquisition at Infosys BPO,Information Technology and Services
10997,Family Physician,Medical Practice
10998,Mixed Signal Design Engineer at Principal Design Group,Electrical/Electronic Manufacturing
10999,Graduate and Professional School Coordinator at Tennessee State University,Higher Education
11000,"Administrative Director, Programs & Operations at Cancer Support Community  Central Indiana",Nonprofit Organization Management
11001,LEAN SIX SIGMA ENGINEER  at SM Energy Company,Oil & Energy
11002,"Chief of Transformation, Business Improvement & Operations  Defense Sector and Indianapolis Site at Rolls-Royce",Aviation & Aerospace
11003,Continuous Improvement Coordinator,Mining & Metals
11004,Associate Director of Career Services at DeVry Inc.,Higher Education
11005,SE Region LSP Recruiter at Allstate,Staffing and Recruiting
11006,Judge Advocate & Special Assistant U.S. Attorney,Law Practice
11007,Transformational Nurse Leader,Hospital & Health Care
11008,"Senior Director, Communications at St. Louis Rams",Public Relations and Communications
11009,"Sr. Talent Advisor  Consultant, McKesson",Staffing and Recruiting
11010,Sr Recruiter,Staffing and Recruiting
11011,Human Resources Business Partner at Lockheed Martin,Human Resources
11012,"Associate Dean, Academic Support Services at DeVry University",Higher Education
11013,Department Chair of Justice Studies Miami Dade College,Public Safety
11014,Compliance Investigator/Public Policy & Administration Graduate,Public Policy
11015,Founder/Artistic Director & IT Portfolio Manager,Information Technology and Services
11016,Visual Effects Producer at Crazy Legs Productions,Motion Pictures and Film
11017,Health Outcomes Research and Gerontology,Pharmaceuticals
11018,Sr. Support Analyst,Retail
11019,Strategic Recruiter,Human Resources
11020,Pharmacist at Walgreens,Retail
11021,Operations Supervisor of Medical Information Services at Children's Hospital of Alabama,Hospital & Health Care
11022,Human Resources Specialist Benefits / HR Transactions at Cox Media Group,Human Resources
11023,Business and Community Development at Delta Community Credit Union,Financial Services
11024,Studying for my Bachelor of Science in Nursing at Marian University,Hospital & Health Care
11025,Vice President/Chief Operating Officer at Methodist North Hospital,Hospital & Health Care
11026,Manager of Engineering Services at MillerCoors,Food & Beverages
11027,Co-Owner at Triple E Realty & Property Management LLC,Airlines/Aviation
11028,Owner/ Principal Broker at Triple E Realty LLC,Pharmaceuticals
11029,Career Services Specialist at Gateway Technical College,Higher Education
11030,HR Support/ Payroll at Crossroads Industrial Services,Accounting
11031,"Accounts Receivable, Cash Receipt Specialist at Defender Direct",Accounting
11032,"Director of Career, College of Online and Continuing Education at Southern New Hampshire University",Education Management
11033,Director of Career Services at The College at Brockport State University Of New York,Higher Education
11034,Social Worker at Alliance Center for Change,Individual & Family Services
11035,Assistant Research Professor at United States Naval Academy,Mechanical or Industrial Engineering
11037,CEO,Human Resources
11038,Accounts Payable Coordinator at United Way of Central Indiana,Financial Services
11039,Certified Sales Executive  at Westpoint Buick GMC,Publishing
11040,Executive Director at Golden Living,Hospital & Health Care
11041,"Director of Recruiting at Major, Lindsey & Africa",Legal Services
11042,"Managing Director at Ajilon Professional Staffing, Accounting Principals and Parker + Lynch",Staffing and Recruiting
11043,Group Compensation Regional Support Team  Latin America at Roche,Human Resources
11044,"Global Storyteller -Multi-Media Content Development integrated marketing strategist via web,retail mobile,etc.",Entertainment
11045,Owner at A Williams Entertainment,Broadcast Media
11046,Youth Basketball Development Skills Coach at Atlanta Hawks,Sports
11047,Owner/CEO Williams Group Enterprises,Real Estate
11048,Chief HR & Administrative Officer,Human Resources
11049,Associate Support Manager (HR),Retail
11050,Senior Youth Counselor and Teacher's Aide,Mental Health Care
11051,at Eli Lilly & Company,Law Practice
11052,HR Consultant/IT Recruiter/Healthcare Recruiter at AMW Consulting,Human Resources
11053,Real Estate Agent & Consultant,Real Estate
11054,Clinical Pharmacy Specialist at Kaiser Permanente,Pharmaceuticals
11055,Academic Advisor III at GSU,Higher Education
11056,Attorney at Poyner Spruill LLP,Law Practice
11057,MBA Candidate Krannert School of Management,Higher Education
11058,Director Sales,Management Consulting
11059,Business Manager at Indiana University School of Medicine,Medical Devices
11060,Director of Admissions at Higher Education,Education Management
11061,"President at People Management Solutions, LLC.",Human Resources
11062,Human Resource Specialist,Human Resources
11063,Employment Litigation Lawyer at Littler Mendelson,Law Practice
11064,Career Services Coordinator at IUPUI,Education Management
11065,HR Manager at Wallenius Wilhelmsen Logistics,Logistics and Supply Chain
11066,The Rocket Launcher,Program Development
11067,Support Supervisor at Roche Diagnostics,Pharmaceuticals
11068,"Manager, Subcontracts at Raytheon",Defense & Space
11069,Certified Human Resource Professional,Human Resources
11070,RPO Consultant at PeopleScout-Bank of America,Staffing and Recruiting
11071,Pharmacy Consultant  Medicare Segment Support at Humana,Pharmaceuticals
11072,"Director at One Touch Wellness; Fitness, Yoga, Massage, and Nutrition Specialist & Educator","Health, Wellness and Fitness"
11073,Communications Manager at City of Milton,Writing and Editing
11074,IT,Information Technology and Services
11075,Strategic Consultant at Whirley & Associates ProActive Advisory,Accounting
11076,Project Team Leader at Procter & Gamble,Logistics and Supply Chain
11077,Recruitment and Engagement Specialist  at RaceTrac Petroleum,Human Resources
11078,Experienced educator and career advisor,Banking
11079,Georgetown University  The Center for Continuing and Professional Education,Higher Education
11080,Mentor Coordinator at EdPower,Education Management
11081,Corporate Recruiter (IT),Human Resources
11082,Models4us Inc.,Entertainment
11092,"Manager, Strategy at InterContinental Hotels Group",Hospitality
11094,Member of Technical Staff at GLOBALFOUNDRIES,Electrical/Electronic Manufacturing
11095,Software Developer at Bloomberg,Computer Software
11100,Supply Chain Management Professional,Information Technology and Services
11104,at Georgia Pacific,Marketing and Advertising
11114,Partner and Managing Director at The Boston Consulting Group,Management Consulting
11149,Strategic Business Development professional with Corporate Development and Strategy Experience,Venture Capital & Private Equity
11166,Senior Software Engineer at Accenture,Information Technology and Services
11170,at,Information Technology and Services
11173,SAS and Analytics Consultant,Management Consulting
11184,Senior Software Engineer at Accenture Technology Solutions,Computer Software
11201,Experienced Associate at PwC,Financial Services
11218,Genesys Consultant,Information Technology and Services
11230,Sr.Systems Analyst at Accenture Technology Solutions,Information Technology and Services
11246,SAP consultant at Accenture Technology Solutions,Information Technology and Services
11267,Associate Manager at Accenture,Management Consulting
12659,Administrator at PMI Educational Foundation,Nonprofit Organization Management
13157,Socio de PDA International  Test Psicométrico para la identificación de talentos,Human Resources
13270,Psychologist,Human Resources
13328,Psicóloga,Human Resources
13341,HR Business Partner / Staffing & Recruiting Lead & Mobility Manager Latin America,Telecommunications
13461,Analytics & Optimization Manager (360° Web Marketing),Marketing and Advertising
13507,Recruiter Consultant (IT & SAP) at VBeyond Corporation,Staffing and Recruiting
13539,Certified SAP Basis Administrator,Information Technology and Services
13581,Assoc. Director at Cognizant Technology Solutions,Information Technology and Services
13583,Graduate Student at University of Delaware,Biotechnology
13604,"Financial Services Executive Solutions Architect, IBM Global Process Services",Information Technology and Services
13636,"Executive Director at Freeport West, Inc",Nonprofit Organization Management
13637,Business Analyst | Future Astronaut | Artist,Management Consulting
13638,Consultant at Accenture,Information Technology and Services
13639,Vice President | Sr. Project Manager | Program Management at JP Morgan Chase & Co,Financial Services
13640,Manager at Accenture,Management Consulting
13641,Associate Tester  QAT at Magenic,Information Technology and Services
13642,Senior IS Manager at Amgen,Pharmaceuticals
13643,"Consultant, IT Architecture at Nationwide Insurance",Insurance
13644,Process Design Consultant at Accenture,Information Technology and Services
13645,Consultant at Accenture,Management Consulting
13646,PLM/Change Leader (Skilled Business Analyst/Trainer),Telecommunications
13647,Project Management Consultant at Target,Information Technology and Services
13648,Senior Manager at Accenture  Insurance Capability,Insurance
13650,Product Manager at SilkRoad technology,Information Technology and Services
13651,Senior Manager at Accenture,Information Technology and Services
13652,Senior Manager at Accenture,Information Technology and Services
13653,Business Analyst  Technical at TEKsystems,Telecommunications
13654,Certified Salesforce.com Professional,Information Technology and Services
13655,Senior Manager at Accenture  Management Consulting,Management Consulting
13656,"Systems Integration Analyst, Technology Consulting at Accenture",Biotechnology
13657,UC Architect at State Farm Insurance,Insurance
13658,Trainer at Marriott International,Hospitality
13659,Program Coordinator III at Farmers Insurance,Insurance
13660,Manager at Accretive Health,Hospital & Health Care
13661,Academic Associate at Capella Education Company,E-Learning
13662,Marketing Manager at The Toro Company,Machinery
13663,Executive and Leadership Coach/Organization Development Consultant,Management Consulting
13664,Enterprise Project Portfolio Manager at Fireman's Fund Insurance Company,Insurance
13665,"Managing Director, Accenture Banking Practice",Financial Services
13666,IT Project Manager at Combined Insurance (ACE Group of Companies),Insurance
13667,Manager at Accenture,Management Consulting
13668,Senior Manager at Accenture,Information Technology and Services
13669,"MBA Candidate, Indiana University Kelley School of Business",Management Consulting
13670,Consulting Analyst at Accenture,Information Technology and Services
13671,Manager at Deloitte Consulting (Workday Practice),Information Technology and Services
13672,QA Manager at Farmers Insurance,Information Services
13673,Management Consulting Business Analyst at Accenture,Management Consulting
13674,Property/Casualty Product & Underwriting Professional,Insurance
13675,Consultant at Accenture,Information Technology and Services
13676,Insurance IT Consultant,Information Technology and Services
13677,"Senior Implementation Manager, Client Development at Data Ventures",Consumer Goods
13678,Senior Manager at Accenture,Insurance
13679,"Manager, Distributed Technologies at The Toro Company",Information Technology and Services
13680,Business Analysis Senior Specialist at CNA Insurance,Insurance
13681,Sr. Business Analyst at The Home Depot,Information Technology and Services
13682,Manager  Management Consulting at Accenture,Financial Services
13683,Senior Manager,Information Technology and Services
13684,Sr Cons Systems/Software QC,Financial Services
13685,Consultant at Avanade,Computer Software
13686,Owner of Discover the Difference,Philanthropy
13687,Sr. Manager at Accenture,Insurance
13688,Management Consultant,Information Technology and Services
13689,Project Management at Farmers Insurance Group of Companies,Insurance
13690,Business Analyst at HTC Global Services,Information Technology and Services
13691,"Senior Manager, Financial Services  P&C Insurance Practice at Accenture",Insurance
13692,Development Manager at Accenture,Computer Software
13693,Supply Chain Professional seeking new opportunity,Information Technology and Services
13694,Iteration Manager at Nationwide Insurance,Insurance
13695,Sales Account Executive at HP Software,Information Technology and Services
13696,Associate Director at Anvil Capital Advisors LLC,Financial Services
13697,eCommerce project manager at kate spade new york,Marketing and Advertising
13698,Project Manager,Computer Software
13699,"Owner, Exclusively Khmer LLC",Translation and Localization
13701,"Consultant at ASR Analytics, LLC",Management Consulting
13702,Manager at Accenture,Information Technology and Services
13703,Senior Project Designer at Gettys,Design
13704,Electrical Engineer at BKV Group,Architecture & Planning
13705,Manufacturing Engineer,Airlines/Aviation
